Name,Colour
21-052,#63A79C
21-052_Control,#83C4B9
21-052_p53 KD,#45726B
21-052_pLL3.7,#83C4B9
21-052_pLVUHshp53,#45726B
21-073,#C8C866
21-073_Control,#DADA7A
21-073_p53 KD,#88882F
21-073_pLL3.7,#DADA7A
21-073_pLVUHshp53,#88882F
21-097,#003049
21-120,#9591B1
21-120_Control,#B4B0D0
21-120_p53 KD,#66637E
21-120_pLL3.7,#B4B0D0
21-120_pLVUHshp53,#66637E
21-161,#D05D4E
21-161_Control,#F98275
21-161_p53 KD,#8F4137
21-161_pLL3.7,#F98275
21-161_pLVUHshp53,#8F4137
21-166,#5E8CAA
21-166_Control,#83AFCD
21-166_p53 KD,#446073
21-166_pLL3.7,#83AFCD
21-166_pLVUHshp53,#446073
21-189,#CF8A26
21-189_Control,#EFA853
21-189_p53 KD,#8F5E13
21-189_pLL3.7,#EFA853
21-189_pLVUHshp53,#8F5E13
22-069,#87AF35
22-069_Control,#A2CA5A
22-069_p53 KD,#5B781A
22-069_pLL3.7,#A2CA5A
22-069_pLVUHshp53,#5B781A
22-091,#D62828
22-111,#F77F00
22-114,#DB95BB
22-114_Control,#F5AED4
22-114_p53 KD,#AD5689
22-114_pLL3.7,#F5AED4
22-114_pLVUHshp53,#AD5689
22-115,#FCBF49
HEK293 T/17,#96F056
HEK 293T/17,#96F056
20-241,#A087CC
23-034,#FAAF98
p53 KD,#800020
pLVUHshp53,#800020
Control,#DEF2DE
pLL3.7,#DEF2DE
