"hgnc_symbol","ensembl_gene_id","uniprotswissprot"
"TMA7B","ENSG00000225528","A0A024R1R8"
"NUDT4B","ENSG00000177144","A0A024RBG1"
"IGKV3-7","ENSG00000282310","A0A075B6H7"
"IGKV1D-42","ENSG00000211633","A0A075B6H8"
"IGLV4-69","ENSG00000211637","A0A075B6H9"
"IGLV8-61","ENSG00000211638","A0A075B6I0"
"IGLV4-60","ENSG00000211639","A0A075B6I1"
"IGLV11-55","ENSG00000211641","A0A075B6I3"
"IGLV10-54","ENSG00000211642","A0A075B6I4"
"IGLV1-50","ENSG00000211645","A0A075B6I6"
"IGLV5-48","ENSG00000211647","A0A075B6I7"
"IGLV7-46","ENSG00000211649","A0A075B6I9"
"IGLV5-37","ENSG00000211654","A0A075B6J1"
"IGLV2-33","ENSG00000211656","A0A075B6J2"
"IGLV3-22","ENSG00000211661","A0A075B6J6"
"IGLV2-18","ENSG00000211664","A0A075B6J9"
"IGLV3-16","ENSG00000211665","A0A075B6K0"
"IGLV3-12","ENSG00000211667","A0A075B6K2"
"IGLV3-10","ENSG00000211669","A0A075B6K4"
"IGLV3-9","ENSG00000211670","A0A075B6K5"
"IGLV4-3","ENSG00000211672","A0A075B6K6"
"TRGV11","ENSG00000211693","A0A075B6L2"
"TRBV7-3","ENSG00000211714","A0A075B6L6"
"TRBV19","ENSG00000211746","A0A075B6N1"
"TRBV20-1","ENSG00000211747","A0A075B6N2"
"TRBV24-1","ENSG00000211750","A0A075B6N3"
"TRBV25-1","ENSG00000282499","A0A075B6N4"
"IGKV2-28","ENSG00000282025","A0A075B6P5"
"IGHV3-64","ENSG00000274236","A0A075B6Q5"
"TRGV2","ENSG00000233306","A0A075B6R0"
"IGHV4-4","ENSG00000282223","A0A075B6R2"
"IGKV2D-24","ENSG00000241566","A0A075B6R9"
"TRGJ1","ENSG00000211690","A0A075B6S0"
"IGKV2D-29","ENSG00000243264","A0A075B6S2"
"IGKV1D-17","ENSG00000242766","A0A075B6S4"
"IGKV1-27","ENSG00000282666","A0A075B6S5"
"IGKV2D-30","ENSG00000239571","A0A075B6S6"
"IGKV1-37","ENSG00000282394","A0A075B6S9"
"TRAV12-2","ENSG00000211789","A0A075B6T6"
"TRAV6","ENSG00000211780","A0A075B6T7"
"TRAV9-1","ENSG00000211783","A0A075B6T8"
"TRAV7","ENSG00000211781","A0A075B6U4"
"TRAV36DV7","ENSG00000211815","A0A075B6V5"
"TRAV23DV6","ENSG00000211803","A0A075B6W5"
"TRAV18","ENSG00000211798","A0A075B6X5"
"TRAJ3","ENSG00000211886","A0A075B6Y3"
"TRAJ42","ENSG00000211847","A0A075B6Y9"
"TRAJ31","ENSG00000211858","A0A075B700"
"TRDJ1","ENSG00000211825","A0A075B706"
"AQP7B","ENSG00000259916","A0A075B734"
"PPIAL4E","ENSG00000271567","A0A075B759"
"PPIAL4H","ENSG00000270339","A0A075B767"
"IGLV5-45","ENSG00000211650","A0A087WSX0"
"IGHV4-31","ENSG00000282404","A0A087WSY4"
"IGKV3D-15","ENSG00000224041","A0A087WSY6"
"IGKV1D-8","ENSG00000239819","A0A087WSZ0"
"TRAV30","ENSG00000259092","A0A087WSZ9"
"TRAV27","ENSG00000211809","A0A087WT01"
"TRAV9-2","ENSG00000211793","A0A087WT02"
"TRAV26-1","ENSG00000211807","A0A087WT03"
"TMEM265","ENSG00000281991","A0A087WTH1"
"NBPF19","ENSG00000271383","A0A087WUL8"
"ZNF892","ENSG00000233757","A0A087WUV0"
"SPEGNB","ENSG00000286095","A0A087WV53"
"TRBV16","ENSG00000282415","A0A087WV62"
"TBC1D3D","ENSG00000274419","A0A087WVF3"
"IGKV2-40","ENSG00000273962","A0A087WW87"
"P3R3URF","ENSG00000250719","A0A087WWA1"
"MEIKIN","ENSG00000239642","A0A087WXM9"
"TBC1D3I","ENSG00000282144","A0A087WXS9"
"TRBV17","ENSG00000282483","A0A087X0K7"
"TRBV18","ENSG00000276557","A0A087X0M5"
"TBC1D3E","ENSG00000278599","A0A087X179"
"TBC1D3K","ENSG00000273513","A0A087X1G2"
"DEFB131B","ENSG00000225805","A0A096LNP1"
"NOTCH2NLR","ENSG00000291980","A0A096LNW5"
"SMIM26","ENSG00000232388","A0A096LP01"
"CCDC187","ENSG00000260220","A0A096LP49"
"UQCRHL","ENSG00000233954","A0A096LP55"
"OR4N4C","ENSG00000279408","A0A096LPK9"
"IGKV2D-26","ENSG00000211623","A0A0A0MRZ7"
"IGKV3D-11","ENSG00000211632","A0A0A0MRZ8"
"IGLV5-52","ENSG00000211643","A0A0A0MRZ9"
"IGLV3-32","ENSG00000211657","A0A0A0MS00"
"TRGV10","ENSG00000211694","A0A0A0MS01"
"TRGV1","ENSG00000211701","A0A0A0MS02"
"TRBV5-3","ENSG00000211715","A0A0A0MS03"
"TRBV6-7","ENSG00000282470","A0A0A0MS04"
"TRBV5-7","ENSG00000282748","A0A0A0MS05"
"TRBV23-1","ENSG00000282449","A0A0A0MS06"
"IGHV1-45","ENSG00000282776","A0A0A0MS14"
"IGHV3-49","ENSG00000275316","A0A0A0MS15"
"IGKV6D-21","ENSG00000225523","A0A0A0MT36"
"IGLJ1","ENSG00000211674","A0A0A0MT76"
"TRBJ2-7","ENSG00000211771","A0A0A0MT78"
"IGKJ1","ENSG00000211597","A0A0A0MT89"
"TRBJ2-1","ENSG00000282488","A0A0A0MTA7"
"TRAV14DV4","ENSG00000211792","A0A0A6YYC5"
"TRBV13","ENSG00000282407","A0A0A6YYD4"
"TRBV6-6","ENSG00000211724","A0A0A6YYG2"
"TRBV6-8","ENSG00000253534","A0A0A6YYG3"
"TRAV8-3","ENSG00000211787","A0A0A6YYJ7"
"TRAV8-1","ENSG00000211782","A0A0A6YYK1"
"TRBV7-1","ENSG00000282225","A0A0A6YYK4"
"TRAV16","ENSG00000211796","A0A0A6YYK6"
"TRAV19","ENSG00000211799","A0A0A6YYK7"
"POTEB","ENSG00000233917","A0A0A6YYL3"
"IGLV1-36","ENSG00000211655","A0A0B4J1U3"
"TRGV5","ENSG00000211697","A0A0B4J1U4"
"TRBV9","ENSG00000211716","A0A0B4J1U6"
"IGHV6-1","ENSG00000282745","A0A0B4J1U7"
"IGHV3-15","ENSG00000282290","A0A0B4J1V0"
"IGHV3-21","ENSG00000282281","A0A0B4J1V1"
"IGHV2-26","ENSG00000282344","A0A0B4J1V2"
"IGHV3-73","ENSG00000273539","A0A0B4J1V6"
"IGHV7-81","ENSG00000211979","A0A0B4J1V7"
"NPIPA9","ENSG00000233024","A0A0B4J1W7"
"IGHV3-74","ENSG00000282305","A0A0B4J1X5"
"IGHV3-43","ENSG00000282151","A0A0B4J1X8"
"IGLV9-49","ENSG00000223350","A0A0B4J1Y8"
"IGHV3-72","ENSG00000278042","A0A0B4J1Y9"
"IGKV1D-43","ENSG00000242580","A0A0B4J1Z2"
"TRBJ2-3","ENSG00000282371","A0A0B4J200"
"TRAV2","ENSG00000211776","A0A0B4J234"
"TRAV13-2","ENSG00000211791","A0A0B4J235"
"TRAV8-2","ENSG00000211786","A0A0B4J237"
"TRAV1-2","ENSG00000256553","A0A0B4J238"
"TRAV10","ENSG00000211784","A0A0B4J240"
"TRAV13-1","ENSG00000211788","A0A0B4J241"
"TRAV3","ENSG00000211777","A0A0B4J244"
"TRAV12-1","ENSG00000211785","A0A0B4J245"
"TRAV1-1","ENSG00000255569","A0A0B4J248"
"TRAV5","ENSG00000211779","A0A0B4J249"
"TRAV8-6","ENSG00000211795","A0A0B4J262"
"TRAV39","ENSG00000211818","A0A0B4J263"
"TRAV38-1","ENSG00000211816","A0A0B4J264"
"TRAV26-2","ENSG00000211812","A0A0B4J265"
"TRAV41","ENSG00000211820","A0A0B4J266"
"TRAV4","ENSG00000211778","A0A0B4J268"
"TRAV12-3","ENSG00000211794","A0A0B4J271"
"TRAV24","ENSG00000211805","A0A0B4J272"
"TRAV34","ENSG00000211813","A0A0B4J273"
"TRAV20","ENSG00000211800","A0A0B4J274"
"TRAV17","ENSG00000211797","A0A0B4J275"
"TRAV25","ENSG00000211806","A0A0B4J276"
"TRAV22","ENSG00000211802","A0A0B4J277"
"TRAV21","ENSG00000211801","A0A0B4J279"
"TRAV40","ENSG00000211819","A0A0B4J280"
"PPIAL4C","ENSG00000288867","A0A0B4J2A2"
"IGKV1D-13","ENSG00000276566","A0A0B4J2D9"
"TRBV12-4","ENSG00000276953","A0A0B4J2E0"
"PIGBOS1","ENSG00000225973","A0A0B4J2F0"
